"Exercise Name";"Type of Activity";"Type of Equipment";"Body Part";"Type";"Muscle Groups Activated";"Instructions"
"Push-Ups";"Strength";"Bodyweight";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Start in a high plank position with your hands under your shoulders. Lower your body until your chest nearly touches the floor. Push back up to the starting position."
"Squats";"Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Stand with feet shoulder-width apart. Lower your body as if sitting back into a chair, keeping your chest up. Return to standing."
"Plank";"Strength/Mobility";"Bodyweight";"Core";"Hold";"Rectus Abdominis, Transverse Abdominis";"Start in a forearm plank position with your elbows directly under your shoulders. Keep your body in a straight line from head to heels."
"Deadlift";"Strength";"Barbell";"Lower Body";"Pull";"Glutes, Hamstrings, Lower Back";"Stand with feet hip-width apart, barbell in front of you. Bend at the hips and knees to grasp the bar, then lift it by straightening your hips and knees."
"Bicep Curls";"Strength";"Dumbbells";"Upper Body";"Pull";"Biceps, Forearms";"Stand with a dumbbell in each hand, arms fully extended. Curl the weights up to your shoulders while keeping your elbows close to your torso."
"Kettlebell Swing";"Cardio/Strength";"Kettlebell";"Core";"Push";"Glutes, Hamstrings, Shoulders";"Stand with feet slightly wider than shoulder-width. Swing the kettlebell between your legs and then up to shoulder height by driving your hips forward."
"Shoulder Press";"Strength";"Dumbbells";"Upper Body";"Push";"Deltoids, Triceps";"Hold a dumbbell in each hand at shoulder height, then press them overhead until your arms are fully extended. Lower back to shoulder height."
"Lat Pulldown";"Strength";"Machine";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Sit at the lat pulldown machine, grasp the bar with a wide grip, and pull it down to your chest. Slowly return to the starting position."
"Hamstring Stretch";"Mobility";"Bodyweight";"Lower Body";"Stretch";"Hamstrings";"Stand upright and place one heel on a bench or step. Lean forward slightly to feel a stretch in the hamstring of the elevated leg."
"Jumping Jacks";"Cardio/Warm-up";"Bodyweight";"Full Body";"Push";"Calves, Deltoids, Glutes";"Stand upright with feet together and arms at your sides. Jump your feet out while raising your arms overhead, then return to the starting position."
"Bench Press";"Strength";"Barbell";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Lie flat on a bench with a barbell. Lower the bar to your chest and push it back up to the starting position."
"Lunges";"Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Step forward with one leg and lower your hips until both knees are bent at a 90-degree angle. Push back to the starting position."
"Pull-Ups";"Strength";"Bodyweight";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Grasp a pull-up bar with an overhand grip. Pull your body up until your chin is above the bar, then lower back down."
"Mountain Climbers";"Cardio/Strength";"Bodyweight";"Core";"Push";"Rectus Abdominis, Hip Flexors, Deltoids";"Start in a plank position and alternate driving your knees towards your chest as quickly as possible."
"Leg Raises";"Strength";"Bodyweight";"Core";"Hold";"Rectus Abdominis, Hip Flexors";"Lie on your back with your legs extended. Lift your legs until they are perpendicular to the floor, then lower them back down."
"Tricep Dips";"Strength";"Bodyweight";"Upper Body";"Push";"Triceps, Deltoids";"Place your hands behind you on a bench or chair. Lower your body by bending your elbows, then push back up to the starting position."
"Russian Twists";"Strength";"Bodyweight";"Core";"Twist";"Obliques, Rectus Abdominis";"Sit on the floor with your knees bent, lean back slightly, and twist your torso to each side, tapping the floor with your hands."
"Burpees";"Cardio/Strength";"Bodyweight";"Full Body";"Push";"Pectorals, Quadriceps, Core";"Start in a standing position, drop into a squat, kick your feet back into a plank, return to the squat position, and jump up."
"Dumbbell Rows";"Strength";"Dumbbells";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"With a dumbbell in each hand, bend at the waist with your back straight. Pull the dumbbells towards your torso, then lower them back down."
"Goblet Squats";"Strength";"Kettlebell";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Hold a kettlebell at chest level and squat down as if sitting in a chair. Return to standing."
"Glute Bridge";"Strength";"Bodyweight";"Lower Body";"Push";"Glutes, Hamstrings";"Lie on your back with knees bent and feet flat on the floor. Lift your hips until your body forms a straight line from shoulders to knees."
"Overhead Tricep Extension";"Strength";"Dumbbells";"Upper Body";"Push";"Triceps";"Hold a dumbbell with both hands overhead, then lower it behind your head by bending your elbows. Extend your arms back to the starting position."
"Side Plank";"Strength";"Bodyweight";"Core";"Hold";"Obliques, Shoulders";"Lie on one side with your legs straight. Lift your hips so your body forms a straight line, supporting yourself on one forearm."
"Cable Flyes";"Strength";"Cable Machine";"Upper Body";"Push";"Pectorals";"Stand in the middle of a cable machine with handles in each hand. With a slight bend in your elbows, bring your hands together in front of your chest."
"Step-Ups";"Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes";"Step onto a bench or box with one foot, then push through that foot to lift your body up. Step back down and repeat on the other side."
"Barbell Rows";"Strength";"Barbell";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Stand with feet hip-width apart, bend forward at the hips, and row the barbell towards your torso. Lower it back down."
"Chest Press";"Strength";"Dumbbells";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Lie on a bench with a dumbbell in each hand. Press the weights straight up over your chest, then lower them back down."
"Box Jumps";"Cardio/Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes, Calves";"Stand in front of a sturdy box or bench. Jump onto the box, landing softly, then step back down."
"Hanging Leg Raises";"Strength";"Bodyweight";"Core";"Hold";"Rectus Abdominis, Hip Flexors";"Hang from a pull-up bar and raise your legs until they are parallel to the floor. Lower them back down slowly."
"Farmer's Walk";"Strength/Cardio";"Dumbbells";"Full Body";"Hold";"Forearms, Shoulders, Core";"Hold a heavy dumbbell in each hand at your sides and walk forward while maintaining a straight posture."
"Calf Raises";"Strength";"Bodyweight";"Lower Body";"Push";"Calves";"Stand with the balls of your feet on the edge of a step. Raise your heels as high as possible, then lower them back down."
"Battle Ropes";"Cardio/Strength";"Ropes";"Upper Body";"Push";"Deltoids, Forearms, Core";"Hold the ends of the ropes in each hand. Alternate waves with your arms to move the ropes up and down as quickly as possible."
"Medicine Ball Slams";"Cardio/Strength";"Medicine Ball";"Full Body";"Push";"Core, Shoulders, Glutes";"Lift a medicine ball overhead and slam it down on the ground with as much force as possible. Catch it on the rebound and repeat."
"Dumbbell Deadlift";"Strength";"Dumbbells";"Lower Body";"Pull";"Glutes, Hamstrings, Lower Back";"Stand with feet hip-width apart, holding a dumbbell in each hand. Bend at the hips and knees to lower the weights, then lift back up."
"Push Press";"Strength";"Barbell";"Upper Body";"Push";"Deltoids, Triceps";"Hold a barbell at shoulder height. Use your legs to help press the bar overhead, then lower it back to the starting position."
"Treadmill Run";"Cardio";"Treadmill";"Lower Body";"Push";"Quadriceps, Hamstrings, Calves";"Run on a treadmill at a speed and incline that challenges your endurance."
"Incline Dumbbell Press";"Strength";"Dumbbells";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Lie on an incline bench with a dumbbell in each hand. Press the weights up and together over your chest, then lower them back down."
"Renegade Rows";"Strength";"Dumbbells";"Upper Body";"Pull";"Latissimus Dorsi, Biceps, Core";"Start in a plank position with a dumbbell in each hand. Row one dumbbell towards your torso while balancing on the other hand."
"Leg Press";"Strength";"Machine";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Sit on a leg press machine with your feet shoulder-width apart on the platform. Push the platform away by extending your legs."
"Cable Tricep Pushdown";"Strength";"Cable Machine";"Upper Body";"Push";"Triceps";"Stand facing a cable machine with a high pulley. Push the handle downwards until your arms are fully extended."
"Single-Leg Deadlift";"Strength";"Dumbbells";"Lower Body";"Pull";"Hamstrings, Glutes, Lower Back";"Stand on one leg, holding a dumbbell in the opposite hand. Bend at the hips to lower the weight while extending the free leg behind you."
"Inverted Rows";"Strength";"Bodyweight";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Lie under a bar or suspension trainer, pull your chest towards the bar while keeping your body straight, then lower back down."
"Pallof Press";"Strength/Mobility";"Cable Machine";"Core";"Hold";"Obliques, Transverse Abdominis";"Stand sideways to a cable machine with the handle at chest height. Push the handle straight out in front of you, resisting the rotation."
"Kettlebell Deadlift";"Strength";"Kettlebell";"Lower Body";"Pull";"Glutes, Hamstrings, Lower Back";"Stand with feet shoulder-width apart, kettlebell between your feet. Bend at the hips and knees to lift the kettlebell off the ground."
"Hanging Knee Tucks";"Strength";"Bodyweight";"Core";"Hold";"Rectus Abdominis, Hip Flexors";"Hang from a pull-up bar and tuck your knees towards your chest, then slowly lower them back down."
"Resistance Band Pull Aparts";"Strength";"Resistance Band";"Upper Body";"Pull";"Rear Deltoids, Trapezius, Rhomboids";"Hold a resistance band in front of you with arms extended. Pull the band apart by bringing your hands out to your sides."
"Bulgarian Split Squats";"Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Stand lunge-style with one foot behind you on a bench. Lower your hips until your front thigh is parallel to the floor, then push back up."
"Seated Shoulder Press";"Strength";"Dumbbells";"Upper Body";"Push";"Deltoids, Triceps";"Sit on a bench with a dumbbell in each hand at shoulder height. Press the weights overhead until your arms are fully extended."
"Incline Push-Ups";"Strength";"Bodyweight";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Place your hands on an elevated surface like a bench. Lower your chest towards the surface, then push back up."
"Hip Thrusts";"Strength";"Barbell";"Lower Body";"Push";"Glutes, Hamstrings";"Sit on the ground with your upper back against a bench, barbell across your hips. Lift your hips towards the ceiling by squeezing your glutes."
"Barbell Curl";"Strength";"Barbell";"Upper Body";"Pull";"Biceps, Forearms";"Stand with feet shoulder-width apart, holding a barbell with an underhand grip. Curl the bar towards your shoulders, then lower it back down."
"Cable Row";"Strength";"Cable Machine";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Sit at a cable row machine with feet braced. Pull the handle towards your torso, then slowly return to the starting position."
"Plank Shoulder Taps";"Strength/Mobility";"Bodyweight";"Core";"Hold";"Rectus Abdominis, Obliques, Deltoids";"Start in a high plank position. Tap one hand to the opposite shoulder, then switch sides, while keeping your body stable."
"Dumbbell Lateral Raise";"Strength";"Dumbbells";"Upper Body";"Push";"Deltoids";"Stand with a dumbbell in each hand, arms at your sides. Raise your arms out to the sides until they are parallel to the floor."
"Wall Sit";"Strength/Mobility";"Bodyweight";"Lower Body";"Hold";"Quadriceps, Glutes";"Lean against a wall with your feet shoulder-width apart. Slide down until your knees are at a 90-degree angle and hold the position."
"Spider Plank";"Strength";"Bodyweight";"Core";"Hold";"Rectus Abdominis, Obliques";"Start in a forearm plank position. Bring one knee to the outside of your elbow, then return to the starting position and repeat on the other side."
"Sumo Deadlift";"Strength";"Barbell";"Lower Body";"Pull";"Glutes, Hamstrings, Lower Back";"Stand with a wide stance, toes pointing out. Grasp the barbell with hands inside your knees, and lift it by extending your hips and knees."
"Single Arm Dumbbell Row";"Strength";"Dumbbell";"Upper Body";"Pull";"Latissimus Dorsi, Biceps";"Place one knee and hand on a bench for support, row the dumbbell towards your torso with the other hand."
"Kettlebell Clean and Press";"Strength";"Kettlebell";"Full Body";"Push";"Glutes, Shoulders, Triceps";"Swing the kettlebell up to shoulder height, then press it overhead. Lower it back down and repeat."
"Jump Rope";"Cardio";"Jump Rope";"Full Body";"Push";"Calves, Shoulders";"Jump over the rope as it passes under your feet, keeping a steady rhythm."
"Side Lunge";"Strength";"Bodyweight";"Lower Body";"Push";"Quadriceps, Glutes, Adductors";"Step out to the side, bending one knee while keeping the other leg straight. Push back to the starting position."
"Machine Chest Fly";"Strength";"Machine";"Upper Body";"Push";"Pectorals";"Sit at a chest fly machine, grasp the handles, and bring them together in front of your chest, then return to the starting position."
"Hack Squat";"Strength";"Machine";"Lower Body";"Push";"Quadriceps, Glutes, Hamstrings";"Stand on a hack squat machine platform, lower your body by bending your knees, then push back up to the starting position."
"Decline Push-Ups";"Strength";"Bodyweight";"Upper Body";"Push";"Pectorals, Triceps, Deltoids";"Place your feet on an elevated surface, hands on the floor. Lower your chest towards the floor, then push back up."
"Band Face Pull";"Strength";"Resistance Band";"Upper Body";"Pull";"Rear Deltoids, Trapezius, Rhomboids";"Attach a resistance band to a high anchor. Pull the band towards your face, leading with your elbows."
"Ab Wheel Rollout";"Strength";"Ab Wheel";"Core";"Push";"Rectus Abdominis, Hip Flexors";"Kneel on the floor with an ab wheel in front of you. Roll the wheel forward while keeping your core tight, then roll back."
"Side Leg Raises";"Mobility";"Bodyweight";"Lower Body";"Hold";"Glutes, Hip Flexors";"Lie on your side with legs straight. Lift your top leg towards the ceiling, then lower it back down."
